"No.","Time","Source","Destination","Protocol","Length","Info"
"6603","50.587466","192.168.43.144","151.5.24.153","TCP","54","56803  >  443 [RST, ACK] Seq=2 Ack=1 Win=0 Len=0"
"6604","50.604452","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=551283 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6605","50.604452","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=552611 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6606","50.604452","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=553939 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6607","50.604599","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=555267 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6608","50.604604","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=552611 Win=2560 Len=0 TSval=280107278 TSecr=3421644957"
"6609","50.604659","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=555267 Win=2560 Len=0 TSval=280107278 TSecr=3421644957"
"6610","50.649742","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=556595 Win=2560 Len=0 TSval=280107323 TSecr=3421644957"
"6611","50.652866","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=556595 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6612","50.652866","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=557923 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6613","50.652866","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=559251 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6614","50.652969","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=559251 Win=2560 Len=0 TSval=280107326 TSecr=3421644957"
"6615","50.692103","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=560579 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6616","50.692103","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=561907 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6617","50.692226","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=561907 Win=2560 Len=0 TSval=280107366 TSecr=3421644957"
"6618","50.739003","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=563235 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6619","50.739003","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=564563 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6620","50.739003","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=565891 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6621","50.739179","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=567219 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6622","50.739307","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=564563 Win=2560 Len=0 TSval=280107413 TSecr=3421644957"
"6623","50.739487","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=567219 Win=2560 Len=0 TSval=280107413 TSecr=3421644957"
"6624","50.782976","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=568547 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6625","50.782976","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=569875 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6626","50.783109","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=569875 Win=2560 Len=0 TSval=280107456 TSecr=3421644957"
"6627","50.783182","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=571203 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6628","50.783239","192.168.43.144","8.253.198.120","TCP","66","57272  >  80 [ACK] Seq=875 Ack=572531 Win=2560 Len=0 TSval=280107457 TSecr=3421644957"
"6629","50.789213","192.168.43.144","149.154.167.92","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 57289  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6630","50.789334","192.168.43.144","149.154.167.92","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 57290  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6631","50.830450","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=572531 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6632","50.830450","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=573859 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6633","50.830450","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=575187 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
"6634","50.830565","8.253.198.120","192.168.43.144","TCP","1394","80  >  57272 [ACK] Seq=576515 Ack=875 Win=45056 Len=1328 TSval=3421644957 TSecr=280095356 [TCP segment of a reassembled PDU]"
